,Kingdom,Phylum,Class,Order,Family,Genus
ASV_V3V403471,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,
ASV_V3V403481,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SG8-4,
ASV_V3V403482,Bacteria,Chloroflexi,Dehalococcoidia,vadinBA26,,
ASV_V3V403483,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter
ASV_V3V403486,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,
ASV_V3V403492,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,
ASV_V3V403493,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,
ASV_V3V403496,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV_V3V403497,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium
ASV_V3V403505,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V403506,Bacteria,Planctomycetes,vadinHA49,,,
ASV_V3V403507,Bacteria,Omnitrophicaeota,,,,
ASV_V3V403512,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V403515,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,,
ASV_V3V403519,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_V3V403527,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,MidBa8,
ASV_V3V403528,Bacteria,,,,,
ASV_V3V403536,Bacteria,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV_V3V403549,Bacteria,Proteobacteria,Alphaproteobacteria,,,
ASV_V3V403550,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba
ASV_V3V403552,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,
ASV_V3V403561,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,
ASV_V3V403564,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,
ASV_V3V403574,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V403583,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thiohalophilus
ASV_V3V403585,Bacteria,Gemmatimonadetes,MD2902-B12,,,
ASV_V3V403587,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum
ASV_V3V403590,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,
ASV_V3V403591,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,
ASV_V3V403598,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_7
ASV_V3V403603,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,,
ASV_V3V403615,Bacteria,Omnitrophicaeota,,,,
ASV_V3V403617,Bacteria,WOR-1,,,,
ASV_V3V403620,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_V3V403631,Bacteria,Nitrospirae,Thermodesulfovibrionia,,,
ASV_V3V403634,Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,,
ASV_V3V403635,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,
ASV_V3V403641,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_8
ASV_V3V403643,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,
ASV_V3V403655,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Caldithrix
